Country,Nationality,Continent,Region
Afghanistan,Afghan,Asia,Southern Asia
≈land Islands,√Öland Island,Europe,Northern Europe
Albania,Albanian,Europe,Southern Europe
,Sahrawi,Africa,Northern Africa
Algeria,Algerian,Africa,Northern Africa
American Samoa,American Samoan,Oceania,Polynesia
Andorra,Andorran,Europe,Southern Europe
Angola,Angolan,Africa,Middle Africa
Anguilla,Anguillan,Americas,Caribbean
Antarctica,Antarctic,Antarctica,Antarctica
Antigua and Barbuda,Antiguan or Barbudan,Americas,Caribbean
Argentina,Argentine,Americas,South America
Armenia,Armenian,Asia,Western Asia
Aruba,Aruban,Americas,Caribbean
Australia,Australian,Oceania,Australia and New Zealand
Austria,Austrian,Europe,Western Europe
Azerbaijan,Azerbaijani,Asia,Western Asia
Bahamas,Bahamian,Americas,Caribbean
Bahrain,Bahraini,Asia,Western Asia
Bangladesh,Bangladeshi,Asia,Southern Asia
Barbados,Barbadian,Americas,Caribbean
Belarus,Belarusian,Europe,Eastern Europe
Belgium,Belgian,Europe,Western Europe
Belize,Belizean,Americas,Central America
Benin,Beninese,Africa,Western Africa
Bermuda,"Bermudian, Bermudan",Americas,Northern America
Bhutan,Bhutanese,Asia,Southern Asia
Bolivia (Plurinational State of),Bolivian,Americas,South America
"Bonaire, Sint Eustatius and Saba",Bonaire,Americas,Caribbean
Herzegovina,Herzegovinian,Europe,Southern Europe
Bosnia,Bosnian,Europe,Southern Europe
Botswana,"Motswana, Botswanan",Africa,Southern Africa
Bouvet Island,Bouvet Island,,
Brazil,Brazilian,Americas,South America
British Indian Ocean Territory,BIOT,,
Brunei Darussalam,Bruneian,Asia,South-Eastern Asia
Bulgaria,Bulgarian,Europe,Eastern Europe
Burkina Faso,BurkinabÈ,Africa,Western Africa
Burundi,Burundian,Africa,Eastern Africa
Cambodia,Cambodian,Asia,South-Eastern Asia
Cameroon,Cameroonian,Africa,Middle Africa
Canada,Canadian Inuit,Americas,Northern America
Canada,Canadian,Americas,Northern America
Cabo Verde,Cabo Verdean,Africa,Western Africa
Cayman Islands,Caymanian,Americas,Caribbean
Central African Republic,Central African,Africa,Middle Africa
Chad,Chadian,Africa,Middle Africa
Chile,Chilean,Americas,South America
China,Chinese,Asia,Eastern Asia
Christmas Island,Christmas Island,,
Cocos (Keeling) Islands,Cocos Island,,
Colombia,Colombian,Americas,South America
Comoros,"Comoran, Comorian",Africa,Eastern Africa
Congo,Congolese,Africa,Middle Africa
Congo (Democratic Republic of the),Congolese,Africa,Middle Africa
Cook Islands,Cook Island,Oceania,Polynesia
Costa Rica,Costa Rican,Americas,Central America
CÙte d'Ivoire,Ivorian,Africa,Western Africa
Croatia,Croatian,Europe,Southern Europe
Cuba,Cuban,Americas,Caribbean
CuraÁao,Cura√ßaoan,Americas,Caribbean
