Region,Decade,female_count,total,percent_female
Australia and New Zealand,1880,0,2,0.0
Australia and New Zealand,1900,0,4,0.0
Australia and New Zealand,1910,0,6,0.0
Australia and New Zealand,1920,1,4,25.0
Australia and New Zealand,1930,1,10,10.0
Australia and New Zealand,1940,1,15,6.666666666666667
Australia and New Zealand,1950,1,5,20.0
Australia and New Zealand,1960,2,7,28.57142857142857
Australia and New Zealand,1970,2,7,28.57142857142857
Australia and New Zealand,1980,0,4,0.0
Australia and New Zealand,2000,0,2,0.0
Caribbean,1880,0,1,0.0
Caribbean,1890,1,4,25.0
Caribbean,1900,0,2,0.0
Caribbean,1910,1,11,9.090909090909092
Caribbean,1920,1,12,8.333333333333332
Caribbean,1930,0,10,0.0
Caribbean,1940,0,4,0.0
Caribbean,1950,2,5,40.0
Caribbean,1960,5,9,55.55555555555556
Caribbean,1970,0,9,0.0
Caribbean,1980,0,2,0.0
Central America,1850,0,2,0.0
Central America,1870,0,2,0.0
Central America,1880,0,5,0.0
Central America,1890,1,11,9.090909090909092
Central America,1900,2,18,11.11111111111111
Central America,1910,2,16,12.5
Central America,1920,2,15,13.333333333333334
Central America,1930,1,21,4.761904761904762
Central America,1940,2,7,28.57142857142857
Central America,1950,1,6,16.666666666666664
Central America,1960,4,13,30.76923076923077
Central America,1970,4,15,26.666666666666668
Central America,1980,0,1,0.0
Central Asia,1970,0,1,0.0
Central Asia,1980,0,1,0.0
Eastern Africa,1920,0,2,0.0
Eastern Africa,1930,0,2,0.0
Eastern Africa,1940,0,2,0.0
Eastern Africa,1960,0,1,0.0
Eastern Africa,1970,1,2,50.0
Eastern Africa,1980,0,2,0.0
Eastern Asia,1870,0,1,0.0
Eastern Asia,1880,0,6,0.0
Eastern Asia,1890,0,17,0.0
Eastern Asia,1900,0,31,0.0
Eastern Asia,1910,1,39,2.564102564102564
Eastern Asia,1920,6,53,11.320754716981133
Eastern Asia,1930,10,94,10.638297872340425
Eastern Asia,1940,7,71,9.859154929577464
Eastern Asia,1950,9,52,17.307692307692307
Eastern Asia,1960,16,80,20.0
Eastern Asia,1970,18,64,28.125
Eastern Asia,1980,7,19,36.84210526315789
Eastern Asia,1990,1,7,14.285714285714285
Eastern Asia,2000,0,7,0.0
Eastern Europe,1850,0,1,0.0
Eastern Europe,1860,0,6,0.0
Eastern Europe,1870,1,14,7.142857142857142
Eastern Europe,1880,9,58,15.517241379310345
Eastern Europe,1890,9,78,11.538461538461538
Eastern Europe,1900,10,55,18.181818181818183
Eastern Europe,1910,4,29,13.793103448275861
Eastern Europe,1920,10,51,19.607843137254903
Eastern Europe,1930,4,51,7.8431372549019605
Eastern Europe,1940,9,47,19.148936170212767
Eastern Europe,1950,3,44,6.8181818181818175
Eastern Europe,1960,5,35,14.285714285714285
Eastern Europe,1970,6,18,33.33333333333333
Eastern Europe,1980,3,4,75.0
Eastern Europe,2000,0,3,0.0
Eastern Europe,2010,0,1,0.0
Middle Africa,1920,0,1,0.0
Middle Africa,1940,0,3,0.0
Middle Africa,1950,0,2,0.0
Middle Africa,1960,1,2,50.0
Northern Africa,1920,1,3,33.33333333333333
Northern Africa,1930,1,4,25.0
Northern Africa,1940,2,2,100.0
Northern Africa,1950,0,2,0.0
Northern Africa,1960,0,1,0.0
Northern Africa,1970,3,8,37.5
Northern Africa,1980,1,3,33.33333333333333
Northern America,1770,0,1,0.0
Northern America,1790,0,1,0.0
Northern America,1800,0,1,0.0
Northern America,1810,0,4,0.0
Northern America,1820,0,16,0.0
Northern America,1830,2,20,10.0
Northern America,1840,1,26,3.8461538461538463
Northern America,1850,2,39,5.128205128205128
Northern America,1860,8,63,12.698412698412698
Northern America,1870,11,75,14.666666666666666
Northern America,1880,20,170,11.76470588235294
Northern America,1890,50,228,21.929824561403507
Northern America,1900,66,358,18.435754189944134
